title,vote_average,popularity,title_clean
I Got the Hook Up,5.3,0.5939,i got the hook up
In Too Deep,6.391,1.2798,in too deep
Initial D,6.85,3.1046,initial d
Janoskians: Untold and Untrue,5.1,0.1141,janoskians: untold and untrue
Kid-E-Cats,6.0,0.2163,kid-e-cats
Kuroko's Basketball,7.638,3.1054,kuroko's basketball
Labyrinth,7.279,6.5256,labyrinth
Letters to Juliet,7.002,3.8852,letters to juliet
Level 16,6.759,1.4361,level 16
Love Don't Cost a Thing,7.548,5.5089,love don't cost a thing
Love in a Puff,7.04,0.6497,love in a puff
Mars Attacks!,6.414,6.1519,mars attacks!
Marshall,7.245,3.3959,marshall
My Boss's Daughter,5.048,1.2489,my boss's daughter
Mystery Men,5.829,2.6477,mystery men
Once Upon a Time in America,8.386,12.2777,once upon a time in america
Open Season 2,5.871,3.4057,open season 2
Osmosis Jones,6.49,3.0071,osmosis jones
Poseidon,5.9,4.7954,poseidon
Rhyme & Reason,0.0,0.2466,rhyme & reason
Same Kind of Different as Me,6.8,0.9114,same kind of different as me
School of Rock,7.084,5.9752,school of rock
Snervous Tyler Oakley,5.067,0.1461,snervous tyler oakley
Tears of the Sun,6.884,5.2188,tears of the sun
The Blue Lagoon,6.144,4.7209,the blue lagoon
The Golden Child,5.936,2.8969,the golden child
The Guns of Navarone,7.304,2.6774,the guns of navarone
The Interview,6.19,6.715,the interview
The Nutty Professor,4.8,0.4565,the nutty professor
The Nutty Professor II: The Klumps,5.015,2.1606,the nutty professor ii: the klumps
Welcome Home Roscoe Jenkins,5.992,1.8568,welcome home roscoe jenkins
In the Line of Fire,6.965,3.667,in the line of fire
Untold: Crime & Penalties,7.1,0.3357,untold: crime & penalties
2 Alone in Paris,5.121,2.8722,2 alone in paris
Bread Barbershop,0.0,0.367,bread barbershop
Thimmarusu,7.8,0.3929,thimmarusu
Wind River,7.432,6.5353,wind river
C Kkompany,5.346,0.3352,c kkompany
D.P.,0.0,0.2277,d.p.
Deadly Sins,7.7,1.9842,deadly sins
EMI: Liya Hai To Chukana Padega,7.0,0.4078,emi: liya hai to chukana padega
He's All That,6.471,2.7935,he's all that
Koi Aap Sa,7.2,0.1633,koi aap sa
Krishna Cottage,5.0,0.5018,krishna cottage
Kucch To Hai,4.2,0.3217,kucch to hai
Kyaa Kool Hai Hum,4.868,0.223,kyaa kool hai hum
Kyaa Kool Hain Hum 3,2.8,0.3103,kyaa kool hain hum 3
Kyaa Super Kool Hain Hum,4.8,0.3247,kyaa super kool hain hum
Kyo Kii... Main Jhuth Nahin Bolta,5.081,0.3664,kyo kii... main jhuth nahin bolta
"LSD: Love, Sex Aur Dhokha",6.156,0.5115,"lsd: love, sex aur dhokha"
Once Upon a Time in Mumbaai,6.672,0.5531,once upon a time in mumbaai
Once Upon a Time in Mumbai Dobaara!,5.1,0.3168,once upon a time in mumbai dobaara!
