title,release_year,country,listed_in,title_clean,vote_average,popularity
Chhota Bheem Aur Hanuman,2012,Unknown,Children & Family Movies,chhota bheem aur hanuman,6.2,0.076
Chhota Bheem aur Krishna,2009,India,Children & Family Movies,chhota bheem aur krishna,10.0,0.2726
Chhota Bheem in African Safari,2015,Unknown,Children & Family Movies,chhota bheem in african safari,0.0,0.0239
Chhota Bheem Ka Roosi Romanch,2019,Unknown,Children & Family Movies,chhota bheem ka roosi romanch,0.0,0.0499
Chhota Bheem: Bheem vs Aliens,2010,Unknown,Children & Family Movies,chhota bheem: bheem vs aliens,5.5,0.1511
Chhota Bheem: Dholakpur to Kathmandu,2012,Unknown,Children & Family Movies,chhota bheem: dholakpur to kathmandu,7.0,0.1001
Chhota Bheem: Dus Pe Dus,2014,Unknown,Children & Family Movies,chhota bheem: dus pe dus,0.0,0.0338
Chhota Bheem: Journey to Petra,2011,Unknown,Children & Family Movies,chhota bheem: journey to petra,0.0,0.264
Chhota Bheem: Master of Shaolin,2011,Unknown,Children & Family Movies,chhota bheem: master of shaolin,8.0,0.114
Chhota Bheem: The Rise of Kirmada,2012,Unknown,Children & Family Movies,chhota bheem: the rise of kirmada,4.7,0.3743
Chicago Med,2019,United States,TV Dramas,chicago med,6.673,3.6442
Cousins,2021,New Zealand,Dramas,cousins,6.7,0.3501
Wannabe Courageous,2019,Unknown,Comedies,wannabe courageous,4.7,0.5954
Words Bubble Up Like Soda Pop,2021,Unknown,Anime Features,words bubble up like soda pop,7.346,1.6106
Sanitation Day,2020,Nigeria,Dramas,sanitation day,4.7,0.128
Sexy Beasts,2021,Unknown,British TV Shows,sexy beasts,0.0,0.0143
Trollhunters: Rise of the Titans,2021,Unknown,Children & Family Movies,trollhunters: rise of the titans,7.554,2.4008
Milkwater,2020,United States,Comedies,milkwater,4.143,0.1813
The Tambour of Retribution,2021,Saudi Arabia,Dramas,the tambour of retribution,5.9,0.1893
Cosmic Sin,2021,United States,Action & Adventure,cosmic sin,4.0,1.7957
2 Weeks in Lagos,2020,Unknown,Dramas,2 weeks in lagos,2.0,0.2142
Deep,2021,Thailand,Dramas,deep,5.98,1.5484
Explained,2021,United States,Docuseries,explained,0.0,0.1608
Fear Street Part 3: 1666,2021,Unknown,Horror Movies,fear street part 3: 1666,7.1,2.0289
Johnny Test,2021,"United States, Canada",Kids' TV,johnny test,3.6,0.1949
La ley de Herodes,1999,Unknown,Comedies,la ley de herodes,7.9,1.2131
Naomi Osaka,2021,Unknown,Docuseries,naomi osaka,0.0,0.0311
The Beguiled,2017,United States,Dramas,the beguiled,7.0,1.6261
The Book of Henry,2017,United States,Dramas,the book of henry,7.492,1.9211
The Twilight Saga: Breaking Dawn: Part 1,2011,United States,Dramas,the twilight saga: breaking dawn: part 1,6.192,8.638
The Twilight Saga: Breaking Dawn: Part 2,2012,United States,Dramas,the twilight saga: breaking dawn: part 2,6.459,9.483
The Twilight Saga: Eclipse,2010,United States,Dramas,the twilight saga: eclipse,6.197,7.2455
The Twilight Saga: New Moon,2009,United States,Dramas,the twilight saga: new moon,5.992,9.2273
Twilight,2008,United States,Action & Adventure,twilight,6.282,14.7887
A Perfect Fit,2021,Indonesia,Comedies,a perfect fit,7.236,0.4355
Cheech & Chong's Still Smokin,1983,Unknown,Comedies,cheech & chong's still smokin,4.5,0.0969
Emicida: AmarElo - Live in São Paulo,2021,Unknown,Documentaries,emicida: amarelo - live in são paulo,7.9,0.0596
Her Private Life,2019,South Korea,International TV Shows,her private life,1.333,0.0938
Lift Like a Girl,2021,"Egypt, Denmark, Germany",Documentaries,lift like a girl,5.75,0.0264
My Amanda,2021,Unknown,Dramas,my amanda,5.7,0.5004
Never Have I Ever,2021,United States,TV Comedies,never have i ever,5.0,0.0533
Surf's Up,2007,"United States, Canada",Children & Family Movies,surf's up,6.484,5.3758
The Unknown Saint,2019,Unknown,Comedies,the unknown saint,6.371,0.4326
This Changes Everything,2019,United States,Documentaries,this changes everything,6.0,1.2189
A Classic Horror Story,2021,Italy,Horror Movies,a classic horror story,5.8,2.1769
Gunpowder Milkshake,2021,Unknown,Action & Adventure,gunpowder milkshake,6.274,4.7098
Heist,2021,Unknown,Crime TV Shows,heist,6.321,3.7605
Private Network: Who Killed Manuel Buendía?,2021,Unknown,Documentaries,private network: who killed manuel buendía?,7.3,0.2479
The Guide to the Perfect Family,2021,Unknown,Comedies,the guide to the perfect family,6.49,0.4881
American Woman,2019,"United States, Canada",Dramas,american woman,6.329,3.411
Day of Destiny,2021,Unknown,Children & Family Movies,day of destiny,4.667,0.2345
Born to Play,2020,United States,Documentaries,born to play,1.0,0.155
American Ultra,2015,"United States, Switzerland",Action & Adventure,american ultra,6.091,3.9748
The Stand-Up,2019,Unknown,Stand-Up Comedy,the stand-up,0.0,0.0409
The Tour,2016,Unknown,Comedies,the tour,0.0,0.0453
Atypical,2021,United States,TV Comedies,atypical,5.5,2.4504
Fear Street Part 2: 1978,2021,Unknown,Horror Movies,fear street part 2: 1978,7.2,3.7639
Finding Hubby,2020,Unknown,Comedies,finding hubby,2.7,0.1649
How I Became a Superhero,2021,Unknown,Action & Adventure,how i became a superhero,6.085,1.4154
Last Summer,2021,Unknown,Dramas,last summer,6.2,0.1904
Lee Su-geun: The Sense Coach,2021,Unknown,Stand-Up Comedy,lee su-geun: the sense coach,2.5,0.3857
Lethal Love,2021,Unknown,Thrillers,lethal love,4.7,0.4956
Ratchet and Clank,2016,"Hong Kong, Canada, United States",Children & Family Movies,ratchet and clank,9.0,0.1528
Virgin River,2021,United States,Romantic TV Shows,virgin river,0.0,0.0143
Back to Q82,2017,"Kuwait, United States",Comedies,back to q82,4.0,0.0812
Home Again,2017,United States,Comedies,home again,6.107,1.8251
Midnight Sun,2018,United States,Dramas,midnight sun,0.0,0.0311
Rock the Kasbah,2015,United States,Comedies,rock the kasbah,5.39,1.4398
Awon Boyz,2019,Unknown,Documentaries,awon boyz,0.0,0.0071
Brick Mansions,2014,"France, Canada, United States, Spain",Action & Adventure,brick mansions,5.905,3.0157
Cat People,2021,Unknown,Docuseries,cat people,6.927,3.8587
Clash,2020,Unknown,Dramas,clash,2.0,0.2799
Dogs,2021,United States,Docuseries,dogs,5.417,0.4271
Major Grom: Plague Doctor,2021,Unknown,Action & Adventure,major grom: plague doctor,6.6,1.7278
Mama Drama,2020,Unknown,Dramas,mama drama,0.0,0.2012
Tango With Me,2010,Nigeria,Dramas,tango with me,0.0,0.1043
The Mire,2021,Poland,Crime TV Shows,the mire,0.0,0.2101
The War Next-door,2021,Unknown,International TV Shows,the war next-door,4.4,0.5268
Therapy,2020,Unknown,Dramas,therapy,6.0,0.0655
This Little Love Of Mine,2021,Australia,International Movies,this little love of mine,6.063,0.7319
Three Thieves,2019,Unknown,Comedies,three thieves,8.0,0.102
A Land Imagined,2019,"France, Netherlands, Singapore",Dramas,a land imagined,5.983,0.5026
Between,2016,Canada,International TV Shows,between,7.0,0.3416
Chelsea,2017,United States,Stand-Up Comedy & Talk Shows,chelsea,0.0,0.0978
Colony,2018,United States,TV Action & Adventure,colony,7.0,0.1402
Cuckoo,2019,United Kingdom,British TV Shows,cuckoo,4.5,2.5715
Girl from Nowhere,2021,Thailand,International TV Shows,girl from nowhere,4.25,0.5498
Good Morning Call,2017,Japan,International TV Shows,good morning call,7.0,0.3391
Har Kisse Ke Hisse: Kaamyaab,2020,India,Dramas,har kisse ke hisse: kaamyaab,6.7,0.2962
I AM A KILLER,2020,United Kingdom,British TV Shows,i am a killer,0.0,0.1189
Larva,2015,Russia,Kids' TV,larva,0.0,1.599
Marcella,2019,United Kingdom,British TV Shows,marcella,0.0,0.1517
My Little Pony: Friendship Is Magic,2018,"United States, Canada",Kids' TV,my little pony: friendship is magic,3.8,0.053
Orange Is the New Black,2019,United States,TV Comedies,orange is the new black,0.0,0.0239
Puffin Rock,2016,"Ireland, United States, United Kingdom",Kids' TV,puffin rock,6.6,0.3697
Rehmataan,2012,India,Dramas,rehmataan,0.0,0.0214
Return of the Prodigal Son,1976,Egypt,Dramas,return of the prodigal son,6.365,0.3303
Richie Rich,2015,United States,Kids' TV,richie rich,4.1,0.3201
Rise: Ini Kalilah,2018,Malaysia,Dramas,rise: ini kalilah,7.5,0.1866
Scream,2019,United States,Crime TV Shows,scream,7.4,17.1558
Si Doel the Movie 2,2019,Indonesia,Dramas,si doel the movie 2,6.6,0.0744
Some Assembly Required,2015,Canada,Kids' TV,some assembly required,0.0,0.0256
Tales by Light,2018,Australia,Docuseries,tales by light,0.0,0.2643
The A List,2021,United Kingdom,British TV Shows,the a list,5.8,1.3543
The Worst Witch,2020,"United Kingdom, Germany",British TV Shows,the worst witch,6.0,0.9072
Truckbhar Swapna,2018,India,Comedies,truckbhar swapna,10.0,0.0992
Ujala,1959,India,Dramas,ujala,4.4,0.1117
Undercover,2020,"Belgium, Netherlands",Crime TV Shows,undercover,5.4,3.4835
We the People,2021,United States,Kids' TV,we the people,2.8,0.4462
Grey's Anatomy,2020,United States,Romantic TV Shows,grey's anatomy,10.0,0.5048
Big Timber,2020,Unknown,International TV Shows,big timber,0.0,0.08
Fear Street Part 1: 1994,2021,Unknown,Horror Movies,fear street part 1: 1994,6.694,2.5955
Haseen Dillruba,2021,India,International Movies,haseen dillruba,6.737,0.8231
Holiday on Mars,2020,Unknown,Comedies,holiday on mars,0.0,0.0214
Mortel,2019,France,Crime TV Shows,mortel,0.0,0.0214
RattleSnake - The Ahanna Story,2020,Nigeria,Dramas,rattlesnake - the ahanna story,5.0,0.2083
Snowpiercer,2013,"South Korea, Czech Republic",Action & Adventure,snowpiercer,6.909,12.625
The 8th Night,2021,South Korea,Horror Movies,the 8th night,6.099,1.7238
Winchester,2018,"Australia, United States",Horror Movies,winchester,5.885,1.6328
6 Bullets,2012,United States,Action & Adventure,6 bullets,6.251,1.2587
Air Force One,1997,"United States, Germany",Action & Adventure,air force one,6.469,4.4314
Audible,2021,Unknown,Documentaries,audible,6.823,1.9706
Austin Powers in Goldmember,2002,United States,Action & Adventure,austin powers in goldmember,6.011,4.4671
Austin Powers: International Man of Mystery,1997,United States,Comedies,austin powers: international man of mystery,6.59,4.8965
Austin Powers: The Spy Who Shagged Me,1999,United States,Action & Adventure,austin powers: the spy who shagged me,6.3,4.4495
Boogie Nights,1997,United States,Comedies,boogie nights,7.629,6.6444
Charlie's Angels,2000,"United States, Germany",Action & Adventure,charlie's angels,6.39,7.9683
Congo,1995,United States,Action & Adventure,congo,5.59,3.8902
Dennis the Menace,1993,United States,Children & Family Movies,dennis the menace,5.883,3.8404
Dreamy Eyes,2019,Vietnam,Dramas,dreamy eyes,6.7,0.4515
Dynasty Warriors,2021,Unknown,Action & Adventure,dynasty warriors,5.892,2.4458
Hampstead,2019,"United Kingdom, Belgium",Comedies,hampstead,5.995,0.8072
Kung Fu Panda,2008,"United States, China",Children & Family Movies,kung fu panda,7.315,12.4147
Kung Fu Panda 2,2011,"United States, China",Children & Family Movies,kung fu panda 2,7.059,9.3873
Life as We Know It,2010,United States,Comedies,life as we know it,6.902,2.7427
Mary Magdalene,2019,"United Kingdom, Australia, United States",Dramas,mary magdalene,6.293,1.85
Memoirs of a Geisha,2005,"France, Japan, United States",Dramas,memoirs of a geisha,7.644,4.384
Midnight Run,1988,United States,Action & Adventure,midnight run,7.191,2.3003
Mobile Suit Gundam Hathaway,2021,Unknown,Action & Adventure,mobile suit gundam hathaway,7.2,3.4925
Mortal Kombat,1995,United States,Action & Adventure,mortal kombat,6.992,6.4531
Mother's Day,2016,United States,Comedies,mother's day,6.47,1.081
No Strings Attached,2011,"United States, United Kingdom",Comedies,no strings attached,6.295,5.8325
Not Another Teen Movie,2001,United States,Comedies,not another teen movie,5.8,4.8721
Ophelia,2018,"United Kingdom, United States",Dramas,ophelia,6.0,0.154
Pet Sematary 2,1992,Unknown,Horror Movies,pet sematary 2,5.477,2.2246
Quarantine Tales,2020,Unknown,International TV Shows,quarantine tales,6.9,0.1607
Red Joan,2019,United Kingdom,Dramas,red joan,6.643,3.1963
Sailor Moon Crystal,2016,Unknown,Anime Series,sailor moon crystal,7.844,1.7389
Seven Pounds,2008,United States,Dramas,seven pounds,7.603,4.5326
She's Out of My League,2010,United States,Comedies,she's out of my league,6.481,4.5896
Snow Day,2000,United States,Children & Family Movies,snow day,5.1,1.9423
Star Trek,2009,"United States, Germany",Action & Adventure,star trek,7.4,8.3679
Stuart Little,1999,"Germany, United States",Children & Family Movies,stuart little,6.067,4.3764
Sword of Trust,2019,United States,Comedies,sword of trust,5.9,0.3399
Talladega Nights: The Ballad of Ricky Bobby,2006,United States,Action & Adventure,talladega nights: the ballad of ricky bobby,6.365,2.3717
The American,2010,"United States, United Kingdom",Dramas,the american,5.971,3.8569
The Best of Enemies,2019,United States,Dramas,the best of enemies,7.4,0.9665
Esperando La Carroza,1985,Argentina,Comedies,esperando la carroza,8.01,0.4908
Love In A Puff,2010,Hong Kong,Comedies,love in a puff,7.04,0.6497
