title,release_year,country,listed_in,title_clean,vote_average,popularity
JJ+E,2021,Unknown,Dramas,jj+e,5.771,1.2805
Show Dogs,2018,"United Kingdom, United States",Children & Family Movies,show dogs,5.959,4.7527
The Circle,2021,"United States, United Kingdom",Reality TV,the circle,5.524,4.1825
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,United States,Documentaries,if i leave here tomorrow: a film about lynyrd skynyrd,7.683,0.2817
Kid Cosmic,2021,United States,Kids' TV,kid cosmic,0.0,0.0168
Octonauts: Above & Beyond,2021,United Kingdom,British TV Shows,octonauts: above & beyond,0.0,0.0
On the Verge,2021,"France, United States",TV Comedies,on the verge,0.0,0.0362
Untold: Breaking Point,2021,United States,Documentaries,untold: breaking point,7.5,0.5452
Shadow Parties,2020,Unknown,Dramas,shadow parties,10.0,0.083
Tayo the Little Bus,2016,South Korea,Kids' TV,tayo the little bus,0.0,0.0286
Angamaly Diaries,2017,India,Action & Adventure,angamaly diaries,7.397,0.3511
A Champion Heart,2018,United States,Children & Family Movies,a champion heart,7.8,0.3578
La casa de papel,2021,Spain,Crime TV Shows,la casa de papel,7.442,1.8222
Sharkdog,2021,"United States, Singapore",Kids' TV,sharkdog,0.0,0.0286
Worth,2021,Unknown,Dramas,worth,6.707,1.3892
Afterlife of the Party,2021,Unknown,Comedies,afterlife of the party,6.7,0.7466
Anjaam,1994,India,Dramas,anjaam,0.0,0.0747
Bright Star,2009,"United Kingdom, Australia, France",Dramas,bright star,6.6,1.3124
Dhanak,2015,India,Comedies,dhanak,7.4,0.4387
Final Account,2021,"United Kingdom, United States",Documentaries,final account,7.4,0.8806
Gurgaon,2017,India,Dramas,gurgaon,5.1,0.326
Here and There,2020,Unknown,Dramas,here and there,0.0,0.0286
In the Cut,2003,"United Kingdom, Australia, France, United States",Thrillers,in the cut,5.1,1.9275
Pororo - The Little Penguin,2013,South Korea,Kids' TV,pororo - the little penguin,5.4,0.5465
Q-Force,2021,United States,Crime TV Shows,q-force,4.0,0.3773
Shikara,2020,India,Dramas,shikara,4.222,3.2612
